categ,codigo,descripcion,pub,psv,psc
P20A,[1006E],"Paleta Multifunción (Fantasía)  Sombras y Labiales Cremosos -Paleta x 15 unid. x 4gr.c/u",920,1,1
M20A,[1114E],Pre Base  de Maquillaje Mila BB - Neutra Pomo x 25gr.,280,1,1
M20A,[1219E],Rubores Compactos Set de Tonos Atemporales. Cartuchera con 4 unid. X 4gr. c/u. Incluye brocha de retoque.,685,1,1
M20A,[1320E],"Polvo Volátil  Bronceante Mate Polvera x 18gr. (Reemplazo de envase)",225,1,1
M20A,[1864E.01],"Base de Maquillaje Mila Súper CC -Fórmula antiedad Botella con dosificador x 20gr.",450,1,1
M20A,[1864E.02],"Base de Maquillaje Mila Súper CC -Fórmula antiedad Botella con dosificador x 20gr.",450,1,1
M20A,[2028E],"Set de Tonalizadores Correctivos tratante HD - Ultra 4K-Alta Cobertura Estuche con espejo x 12gr. -6 Unid.",440,1,1
MM,[1000-01],Tonalizador Correctivo Beige Amarillento / Beige grisado,220,1,1
MM,[1000-02],Tonalizador Correctivo Salmón / Tostado,220,1,1
MM,[1002-02],Maquillaje Líquido Corrector Beige Amarillento,170,1,1
MM,[1002-03],Maquillaje Líquido Corrector Beige Rosado,170,1,1
MM,[1014],Fluidificador de texturas.,495,1,1
MM,[1100-Ilum.],Sombra Compacta (Petaca)  Iluminador BLUR -Efecto Photoshop,264,1,1
MM,[1110-101],Sombra Compacta (Repuesto) Dorada Intenso,165,1,1
MM,[1110-102],Sombra Compacta (Repuesto) Chocolate Mate,165,1,1
MM,[1110-103],Sombra Compacta (Repuesto) Borravino Satinado,165,1,1
MM,[1110-104],Sombra Compacta (Repuesto) Rosa Salmón Perlada,165,1,1
MM,[1110-105],Sombra Compacta (Repuesto) Violeta Semimate,165,1,1
MM,[1110-106],Sombra Compacta (Repuesto) Rosa Perlada,165,1,1
MM,[1110-107],Sombra Compacta (Repuesto) Gris Mate,165,1,1
MM,[1110-108],Sombra Compacta (Repuesto) Rosa Bebe Satinada,165,1,1
MM,[1110-109],Sombra Compacta (Repuesto) Anaranjado Claro Satinado,165,1,1
MM,[1110-110],Sombra Compacta (Repuesto) Verde Musgo Perlado,165,1,1
MM,[1110-111],Sombra Compacta (Repuesto) Azul  Intenso Satinado,165,1,1
MM,[1110-112],Sombra Compacta (Repuesto) Celeste Perlado,165,1,1
MM,[1110-113],Sombra Compacta (Repuesto) Dorado Claro Satinado,165,1,1
MM,[1110-114],Sombra Compacta (Repuesto) Cobre Satinado,165,1,1
MM,[1110-115],Sombra Compacta (Repuesto) Habano Satinado,165,1,1
MM,[1110-116],Sombra Compacta (Repuesto) Marfil Satinado,165,1,1
